ZCTA,Total_Population,Male_Under_5,Male_5_to_9,Male_10_to_14,Male_15_to_17,Male_18_to_19,Male_22_to_24,Male_25_to_29,Male_30_to_34,Male_35_to_39,Male_40_to_44,Male_45_to_49,Male_50_to_54,Male_55_to_59,Male_60_to_61,Male_62_to_64,Male_65_to_66,Male_67_to_69,Male_70_to_74,Male_75_to_79,Male_80_to_84,Male_85_plus,Female_Under_5,Female_5_to_9,Female_10_to_14,Female_15_to_17,Female_18_to_19,Female_22_to_24,Female_25_to_29,Female_30_to_34,Female_35_to_39,Female_40_to_44,Female_45_to_49,Female_50_to_54,Female_55_to_59,Female_60_to_61,Female_62_to_64,Female_65_to_66,Female_67_to_69,Female_70_to_74,Female_75_to_79,Female_80_to_84,Female_85_plus,Total_Race,White_Alone,Black_Alone,AI_AN_Alone,Asian_Alone,NHPI_Alone,Other_Race_Alone,Two_or_More_Races,Total_Ethnicity,Not_Hispanic,Hispanic_Latino,Total_Education,Male_Less_9th,Male_Some_HS,Male_HS_Grad,Male_Some_College,Male_Associates,Male_Bachelors,Male_Graduate,Female_Less_9th,Female_Some_HS,Female_HS_Grad,Female_Some_College,Female_Associates,Female_Bachelors,Female_Graduate,Total_Employment,In_Labor_Force,Civilian_Labor_Force,Employed,Unemployed,Armed_Forces,Not_in_Labor_Force,Median_Household_Income,Per_Capita_Income,Total_Households,Population_Under_18,Population_18_to_64,Population_65_plus,Working_Age_25_54,Less_than_HS,HS_Grad_or_Equivalent,Some_College,Associates_Degree,Bachelors_or_Higher,Labor_Force_Participation_Rate,Unemployment_Rate,Pct_White,Pct_Black,Pct_Asian,Pct_Hispanic
76041,772,0,11,0,0,0,160,0,52,0,14,99,46,0,20,0,0,0,29,11,0,0,0,22,22,11,0,0,15,0,114,0,40,0,0,0,22,0,0,42,42,0,0,772,728,0,0,0,0,44,0,772,355,417,546,271,0,0,0,0,0,0,0,0,113,29,70,31,28,717,575,575,564,11,0,142,154427.0,46252.0,267,66,582,124,380,271,113,29,70,59,80.2,1.91,94.3,0.0,0.0,54.02
76043,7281,113,153,192,156,22,122,70,205,385,225,167,407,157,166,122,48,267,102,151,40,69,91,46,478,262,67,90,118,188,331,258,162,286,278,79,346,48,185,192,35,65,149,7281,5636,123,28,50,0,446,998,7281,5621,1660,5301,2581,38,0,0,55,8,31,41,9,848,244,340,140,682,6009,3957,3957,3781,176,0,2052,75764.0,40711.0,2619,1491,4251,1351,2802,2669,848,244,395,861,65.85,4.45,77.41,1.69,0.69,22.8
76044,7644,325,270,251,112,184,137,223,151,451,348,139,194,245,50,84,75,172,108,18,85,42,286,229,320,172,116,197,150,348,338,317,181,252,255,40,42,232,125,125,99,16,32,7644,6345,382,54,194,0,126,543,7644,6158,1486,4937,2385,27,22,21,129,11,18,40,0,859,222,318,263,290,5902,3988,3988,3847,141,0,1914,88795.0,35023.0,2594,1965,4442,1129,3092,2452,881,243,447,582,67.57,3.54,83.01,5.0,2.54,19.44
76048,27005,747,550,958,480,168,420,787,751,509,642,957,942,815,461,396,558,371,821,542,439,240,668,637,923,688,261,574,746,783,568,648,941,734,917,470,539,545,498,789,631,568,606,27005,23234,313,215,206,17,418,2602,27005,22698,4307,19214,9231,113,24,181,170,173,49,144,166,2663,842,1338,821,1695,22118,11971,11971,11362,609,0,10147,61728.0,36145.0,11084,5651,14029,6608,9008,9654,2687,1023,1508,2738,54.12,5.09,86.04,1.16,0.76,15.95
76049,29301,414,792,743,574,339,345,650,675,815,696,674,638,1428,550,440,382,617,1479,749,546,366,851,573,794,403,261,423,837,709,796,870,647,918,1431,518,667,589,873,1312,663,568,429,29301,26931,68,91,320,0,393,1498,29301,26069,3232,22532,10705,113,22,0,20,74,129,100,78,2890,891,1817,808,2395,24668,13368,13368,12405,963,0,11300,96674.0,49196.0,11875,5144,15327,8573,8925,10996,2912,891,1837,3406,54.19,7.2,91.91,0.23,1.09,11.03
76050,7395,215,125,347,176,65,267,168,346,129,195,198,341,357,176,89,96,189,64,201,20,22,37,160,372,125,82,27,90,307,182,285,180,268,178,202,208,108,106,259,89,69,109,7395,6880,64,3,0,14,134,300,7395,6481,914,5231,2591,41,0,16,73,82,126,66,59,965,236,256,280,313,6006,3740,3740,3657,83,0,2266,80858.0,34707.0,2624,1557,4340,1332,2689,2757,965,252,329,801,62.27,2.22,93.04,0.87,0.0,12.36
76051,50303,1278,1618,1584,859,681,1411,1943,1806,1972,1639,1420,2030,2123,1026,982,474,747,886,448,179,224,1362,1524,1361,750,420,693,1957,1772,1336,1531,2114,1865,2131,826,868,496,652,763,764,406,474,50303,36629,3265,152,3348,0,2113,4796,50303,40386,9917,35854,17899,106,0,267,173,235,74,214,86,2786,544,2837,1088,6255,41091,31637,31604,30008,1596,33,9454,106726.0,57271.0,21224,10336,32546,6513,21385,18305,2786,811,3010,7652,76.99,5.05,72.82,6.49,6.66,19.71
76052,27171,674,1055,1396,800,221,180,883,1026,1105,1086,925,915,900,267,517,181,217,257,142,145,13,1199,984,1165,812,406,408,1254,725,1743,641,820,973,1229,126,323,172,174,554,38,82,10,27171,19704,2986,142,363,0,510,3466,27171,22603,4568,17443,8579,209,0,1,7,13,118,43,158,1526,809,1274,663,2599,20239,15205,15082,14712,370,123,5034,135348.0,48446.0,8811,8085,16673,1985,12096,8989,1526,810,1281,3393,75.13,2.45,72.52,10.99,1.34,16.81
76053,31396,1319,1442,1176,715,243,615,1056,1022,1048,1198,905,721,988,521,348,188,282,577,268,173,188,861,1112,1205,762,345,648,1053,929,1429,896,1145,862,784,379,577,372,502,622,396,200,544,31396,19844,3912,186,1359,84,1890,4121,31396,22349,9047,20173,9483,167,42,99,153,366,219,104,189,2459,521,2008,430,1998,23755,16175,16126,15602,524,49,7580,59985.0,29856.0,11655,8592,17712,4312,12264,9943,2501,620,2161,3013,68.09,3.25,63.21,12.46,4.33,28.82
76054,11886,383,189,471,319,160,248,149,368,433,505,409,298,390,273,262,162,122,349,217,145,148,184,202,408,180,93,203,363,350,415,327,325,409,506,196,268,150,223,337,336,157,117,11886,9105,525,337,887,0,143,889,11886,10322,1564,8709,4230,57,3,0,0,40,16,11,0,557,162,716,524,1452,9861,6688,6688,6486,202,0,3173,104748.0,49402.0,4660,2336,6950,2463,4351,4298,560,162,716,2032,67.82,3.02,76.6,4.42,7.46,13.16
76058,21082,466,511,850,576,360,560,693,872,488,626,615,666,623,294,458,249,250,285,187,73,49,542,1042,973,583,294,525,642,561,854,622,584,484,879,209,406,175,287,518,306,109,55,21082,18339,177,76,24,30,1264,1172,21082,16438,4644,13119,6428,78,15,161,111,177,207,316,242,2166,499,1063,475,528,16263,10444,10334,9986,348,110,5819,66777.0,28382.0,7083,5543,12315,2543,7707,7064,2181,660,1174,1387,64.22,3.37,86.99,0.84,0.11,22.03
76059,5224,161,220,257,48,178,54,159,223,116,176,132,117,156,23,42,5,17,78,24,67,16,168,224,134,79,91,435,123,191,86,158,221,82,126,7,55,13,72,71,262,53,50,5224,4359,125,24,201,0,194,321,5224,3395,1829,2921,1351,0,0,0,26,69,46,32,30,443,49,269,77,200,3981,2488,2445,2349,96,43,1493,49703.0,20311.0,1697,1291,2951,728,1784,1413,443,49,295,392,62.5,3.93,83.44,2.39,3.85,35.01
76060,8552,288,307,330,62,195,191,438,208,282,278,319,379,285,119,198,120,117,220,178,21,38,143,212,323,183,36,84,309,104,208,271,435,265,274,144,157,182,87,193,179,30,94,8552,5798,1175,0,499,0,489,591,8552,6997,1555,6132,3200,83,13,52,56,173,188,57,39,717,150,563,268,657,6902,4850,4850,4623,227,0,2052,112931.0,44244.0,2829,1848,5179,1459,3496,3379,730,202,619,1286,70.27,4.68,67.8,13.74,5.83,18.18
76061,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,59,59,0,0,0,0,0,0,59,59,0,59,29,0,0,0,0,0,0,0,0,0,0,29,0,0,59,59,59,59,0,0,0,,,29,0,59,0,0,29,0,0,29,0,100.0,0.0,100.0,0.0,0.0,0.0
76063,80101,1793,2892,4230,2320,1202,1519,2208,2076,2055,3353,3181,2490,2547,684,1546,711,1023,1003,862,397,528,1895,3062,3908,2275,1446,954,1644,2483,2533,3699,3500,2999,2603,765,1279,605,837,1209,1209,506,406,80101,49168,17125,236,3403,39,3406,6724,80101,66174,13927,50941,24664,236,228,120,202,189,354,355,380,4831,1519,4576,2312,5938,61203,42383,42230,40686,1544,153,18820,110303.0,43685.0,25817,22375,46766,9296,32221,25635,5059,1639,4778,8793,69.25,3.66,61.38,21.38,4.25,17.39
76064,1952,62,49,107,15,6,36,83,30,38,24,50,54,101,2,138,15,65,73,34,0,18,33,60,47,10,10,45,83,41,46,39,121,84,10,0,101,65,36,15,68,8,0,1952,1410,1,18,0,0,93,430,1952,1323,629,1442,725,0,5,128,4,0,0,0,12,225,119,94,2,63,1576,1053,1036,965,71,17,523,78523.0,34959.0,701,383,1142,397,693,737,230,247,98,65,66.81,6.85,72.23,0.05,0.0,32.22
76065,42415,1329,1710,2100,859,752,600,996,1515,1464,1339,1545,1700,1267,435,671,377,395,609,396,179,155,1389,1618,1869,1069,484,743,1023,1496,1507,1697,1706,1340,1245,426,555,669,521,562,611,305,330,42415,32843,3926,146,201,0,1218,4081,42415,34667,7748,27036,13043,76,16,155,146,14,138,88,207,3090,1208,2422,967,3211,31752,22758,22722,22058,664,36,8994,121063.0,47391.0,14017,11943,24506,5109,17328,13414,3106,1363,2568,4330,71.67,2.92,77.43,9.26,0.47,18.27
76066,4923,31,78,674,163,21,67,46,84,103,217,135,21,209,94,58,49,23,76,179,106,11,38,339,157,250,139,54,66,199,20,360,121,138,106,15,85,20,169,140,42,4,16,4923,3845,0,8,9,0,31,1030,4923,3958,965,2912,1411,35,0,6,6,145,30,2,0,408,107,110,45,233,3289,1898,1896,1728,168,2,1391,98145.0,33893.0,1496,1730,2358,835,1510,1448,408,113,116,453,57.71,8.86,78.1,0.0,0.18,19.6
76070,766,116,39,0,0,0,133,29,0,30,0,78,0,25,0,30,0,0,0,13,0,0,0,36,0,0,0,0,120,0,19,52,0,14,0,0,26,0,0,0,6,0,0,766,766,0,0,0,0,0,0,766,766,0,442,205,0,0,0,0,0,0,0,0,89,0,78,25,0,575,513,513,513,0,0,62,130630.0,43453.0,287,191,556,19,342,205,89,0,78,25,89.22,0.0,100.0,0.0,0.0,0.0
76071,4610,145,126,250,189,190,61,195,75,151,169,209,59,149,122,64,56,26,46,23,30,5,157,139,229,80,37,110,138,150,127,266,88,205,166,55,70,22,18,47,5,10,26,4610,3840,191,41,24,0,129,385,4610,3753,857,2772,1379,52,4,23,0,48,16,13,23,676,82,180,128,104,3486,2371,2371,2095,276,0,1115,94318.0,36489.0,1442,1315,2856,314,1832,1467,680,105,180,296,68.01,11.64,83.3,4.14,0.52,18.59
76073,6948,202,213,137,240,47,25,245,176,119,304,365,207,350,99,141,24,217,228,102,6,32,86,152,309,233,69,90,168,142,239,278,225,155,285,114,193,64,102,257,93,71,44,6948,6412,39,56,4,0,51,386,6948,6087,861,5045,2615,10,33,26,127,22,115,37,99,1009,156,201,243,418,5741,3913,3913,3777,136,0,1828,107759.0,39943.0,2444,1572,4036,1240,2623,2761,1042,182,328,798,68.16,3.48,92.29,0.56,0.06,12.39
76077,748,43,41,41,51,34,11,54,14,0,0,0,47,31,62,0,0,0,0,0,26,0,0,0,77,34,17,0,0,0,41,47,0,16,0,0,14,0,0,0,14,0,11,748,678,59,0,0,0,0,11,748,726,22,377,234,0,0,0,0,0,0,7,0,59,43,71,0,0,495,158,158,158,0,0,337,,24245.0,160,287,388,51,219,241,59,43,71,0,31.92,0.0,90.64,7.89,0.0,2.94
76078,9696,455,369,268,147,159,136,177,466,301,269,249,339,311,120,192,73,93,156,82,136,32,267,472,396,242,80,115,305,388,177,324,263,436,380,79,249,59,122,168,56,92,95,9696,7536,108,415,37,8,796,796,9696,7327,2369,6189,2996,54,0,26,25,38,49,13,89,1099,274,506,364,390,7363,4988,4988,4805,183,0,2375,89794.0,33768.0,3143,2616,5515,1164,3694,3152,1099,300,531,841,67.74,3.67,77.72,1.11,0.38,24.43
76082,23489,651,825,791,424,397,265,866,822,506,1098,988,756,556,109,365,405,281,331,354,131,80,830,650,974,588,210,553,902,717,857,857,755,700,670,469,331,267,421,520,346,296,80,23489,20636,145,57,141,5,466,2039,23489,19998,3491,15836,7648,86,45,20,96,123,231,144,158,2846,994,1264,715,683,18334,11978,11903,11296,607,75,6356,84506.0,35204.0,7651,5733,13749,3512,9824,8036,2891,1014,1360,1752,65.33,5.1,87.85,0.62,0.6,14.86
76084,12058,714,359,390,175,148,399,442,788,687,354,313,372,277,158,301,122,107,110,137,157,0,376,482,382,329,83,98,388,557,363,364,240,292,343,43,324,75,120,145,63,113,26,12058,7984,1144,28,360,0,759,1783,12058,9025,3033,7781,4325,91,59,34,43,129,119,145,55,1898,316,800,98,305,9310,5549,5537,5324,213,12,3761,85748.0,28337.0,3431,3207,7334,1175,5160,4616,1957,350,843,651,59.6,3.85,66.21,9.49,2.99,25.15
76085,11695,236,497,287,277,178,174,359,321,475,411,284,328,413,298,228,275,249,346,180,82,9,252,215,449,168,96,170,261,370,406,263,375,272,473,266,372,101,299,400,179,95,110,11695,10308,31,62,89,56,214,935,11695,10463,1232,8500,4258,0,12,0,27,17,222,216,123,1353,394,565,469,595,9709,6026,5956,5793,163,70,3683,91128.0,35151.0,3834,2381,6793,2325,4125,4597,1365,394,592,1303,62.07,2.74,88.14,0.27,0.76,10.53
76086,21979,943,903,591,448,524,804,864,831,606,508,572,496,882,115,280,296,169,301,486,184,142,394,731,684,402,254,555,559,881,643,715,462,624,509,294,607,91,299,573,333,213,671,21979,18171,873,211,438,6,524,1756,21979,18395,3584,14206,6732,146,135,50,21,140,64,166,155,2037,489,1253,640,1005,17461,11198,11198,10717,481,0,6263,65707.0,33507.0,8423,5096,12585,3758,7761,7199,2172,539,1274,1849,64.13,4.3,82.67,3.97,1.99,16.31
76087,31831,894,1192,1156,758,321,723,852,961,1116,872,901,1117,1211,745,796,331,517,838,322,362,167,1015,837,1127,430,265,432,811,1064,783,931,943,1105,976,512,925,383,498,753,682,314,242,31831,27924,356,132,239,0,479,2701,31831,27652,4179,22030,11108,272,184,14,13,112,62,26,502,2017,663,1252,1618,2924,25242,15706,15649,15037,612,57,9536,101606.0,48936.0,11666,7409,18362,5409,11456,11908,2201,677,1265,4716,62.22,3.91,87.73,1.12,0.75,13.13
76088,14693,447,462,530,198,147,271,493,616,425,543,339,669,519,291,263,142,248,431,153,231,118,288,355,563,394,203,151,292,366,308,395,663,619,579,139,210,218,220,256,245,210,110,14693,13418,6,14,84,0,345,826,14693,12702,1991,10311,5481,131,0,0,43,108,149,14,172,2003,367,895,340,983,11795,7352,7350,6940,410,2,4443,89554.0,42276.0,5215,3237,8501,2582,5728,5798,2003,367,938,1580,62.33,5.58,91.32,0.04,0.57,13.55
76092,31212,928,1341,1806,918,399,238,227,176,697,1103,1563,1515,1280,595,551,313,416,464,345,228,91,736,1052,2129,1201,347,204,349,343,1052,1326,1321,1405,1081,402,533,386,352,472,340,227,460,31212,23644,417,28,5305,0,216,1602,31212,28454,2758,19613,9564,0,0,4,0,17,0,0,63,600,196,767,316,4017,22427,13498,13498,13159,339,0,8929,250001.0,111063.0,9431,10111,16707,4094,11077,9627,600,200,767,4350,60.19,2.51,75.75,1.34,17.0,8.84
76093,3485,125,76,100,200,65,23,137,59,40,271,338,37,157,110,27,0,55,57,5,14,0,41,58,186,80,27,44,89,37,47,86,290,71,59,91,10,11,82,53,55,113,12,3485,3246,0,7,0,0,35,197,3485,2936,549,2413,1307,23,75,0,28,201,3,6,9,354,67,287,36,128,2691,1736,1736,1477,259,0,955,52832.0,26441.0,1269,866,2115,457,1502,1345,429,67,315,368,64.51,14.92,93.14,0.0,0.0,15.75
76102,11645,71,83,72,88,207,674,1069,834,522,486,573,386,421,159,85,167,165,124,75,71,115,59,114,83,98,14,579,703,519,322,420,386,466,303,122,195,85,64,74,63,113,169,11645,7490,2355,81,261,0,507,951,11645,8960,2685,9256,5252,46,98,36,148,263,180,185,129,1335,237,654,261,958,11121,4735,4735,4601,134,0,6386,81074.0,43613.0,4303,668,9445,1285,6686,5612,1433,273,802,1662,42.58,2.83,64.32,20.22,2.24,23.06
76103,17285,793,562,589,468,142,501,601,718,602,362,456,669,370,124,247,131,288,180,79,96,29,666,540,583,481,388,582,816,551,622,497,537,356,583,229,192,172,263,191,123,107,104,17285,6639,3345,277,110,0,3289,3625,17285,7674,9611,10295,4952,307,38,356,122,354,16,182,115,1445,231,463,371,611,13355,9092,9092,8179,913,0,4263,56641.0,26281.0,5500,4682,10145,1763,6787,5556,1483,587,585,1352,68.08,10.04,38.41,19.35,0.64,55.6
76104,18914,628,528,520,604,213,432,544,936,739,630,319,404,502,159,234,111,248,258,159,61,154,495,1015,928,441,261,542,955,734,777,681,473,380,449,235,406,149,114,274,284,164,281,18914,7229,5591,110,540,0,3189,2255,18914,10220,8694,11814,5458,189,193,397,271,148,177,182,151,1684,193,772,169,642,14410,8232,8230,7729,501,2,6178,46098.0,25201.0,7386,5159,11005,2257,7572,5980,1877,590,1043,1136,57.13,6.09,38.22,29.56,2.86,45.97
76105,23252,1353,826,1162,531,539,448,806,476,879,762,453,646,809,161,442,151,145,226,111,81,91,716,865,744,574,871,560,714,928,628,704,695,405,504,280,340,109,309,318,150,313,431,23252,4319,7853,298,88,14,7593,3087,23252,9808,13444,13067,6239,670,189,410,289,437,147,470,387,2038,398,427,68,167,17404,10208,10203,9307,896,5,7196,44193.0,17952.0,6865,6771,13050,2435,8096,7766,2227,808,716,819,58.65,8.78,18.57,33.77,0.38,57.82
76106,37777,1353,1596,1728,1057,632,688,1471,1737,1154,942,1189,1289,735,509,392,148,262,259,357,129,108,1422,1627,2294,992,467,560,1720,1353,1324,1161,1254,684,1208,598,234,252,311,535,548,278,120,37777,12004,3376,320,401,0,14458,7218,37777,7698,30079,22261,10681,904,287,1039,534,962,761,452,415,3214,564,664,336,393,27134,18465,18460,17169,1291,5,8669,51972.0,19052.0,10814,12069,21301,3307,15278,12452,3501,1603,1198,2452,68.05,6.99,31.78,8.94,1.06,79.62
76107,29629,901,363,775,438,322,775,1605,1278,1518,884,823,805,985,419,416,289,301,599,545,226,205,556,406,646,324,200,1352,2183,1010,1023,752,699,834,957,315,776,301,655,722,506,328,317,29629,20879,4082,100,1062,0,1573,1933,29629,23144,6485,22276,10898,121,30,67,227,52,167,338,253,1592,392,976,693,3796,25856,17612,17563,17050,513,49,8244,77277.0,67218.0,15194,4409,19931,4994,13414,11610,1622,459,1203,4708,68.12,2.92,70.47,13.78,3.58,21.89
76108,44930,1637,1795,1744,784,500,711,1297,1489,2289,1313,1353,1398,1156,494,599,540,559,765,439,240,271,1627,1410,1570,990,939,384,1631,1697,2082,1504,1176,1723,1217,547,699,846,617,1013,568,258,189,44930,30817,2938,482,882,0,3826,5985,44930,31951,12979,29969,14202,95,331,118,104,127,109,194,369,4359,1447,2062,1242,2543,34663,22085,22045,21118,927,40,12578,73183.0,36337.0,16385,11557,26198,6305,18952,14860,4690,1565,2166,4021,63.71,4.21,68.59,6.54,1.96,28.89
76109,25658,410,771,832,357,630,551,1220,725,765,735,362,426,674,324,431,192,426,492,232,167,180,823,770,754,523,1077,658,1028,1004,946,516,481,738,863,277,373,299,393,470,378,222,307,25658,20537,1306,59,1664,0,676,1416,25658,23021,2637,15646,7351,0,12,32,12,17,0,0,74,407,215,665,370,3207,21041,13499,13487,12999,488,12,7542,99102.0,66306.0,9878,5240,14804,3758,8946,7425,419,247,677,3594,64.16,3.62,80.04,5.09,6.49,10.28
76110,33640,1137,1288,1305,523,513,1073,1450,1408,1151,1400,1039,794,743,549,445,171,451,469,384,136,111,1171,1051,1634,722,678,608,997,1197,1307,1178,1001,664,1072,382,488,280,192,456,395,48,108,33640,19406,539,232,401,0,7468,5594,33640,12135,21505,20466,10701,621,300,802,488,732,429,309,333,1795,334,1349,599,1715,25627,16205,16196,15598,598,9,9422,59933.0,31699.0,11276,8831,20137,3201,13586,11964,2095,1136,1837,3475,63.23,3.69,57.69,1.6,1.19,63.93
76111,21366,437,732,764,562,539,434,820,887,924,868,759,669,999,237,150,321,175,203,168,23,10,534,787,970,389,446,614,589,653,683,777,594,820,903,179,248,130,195,259,204,85,67,21366,11374,806,234,645,19,5052,3236,21366,6548,14818,13599,7213,215,162,263,572,250,372,198,190,2905,227,632,319,696,16770,11210,11199,10640,559,11,5560,54884.0,25387.0,7673,5175,13792,1840,9043,7816,3067,490,1204,1637,66.85,4.99,53.23,3.77,3.02,69.35
76112,44116,1621,1869,1358,1325,508,888,1737,1637,1295,1220,1238,1453,972,619,695,469,614,625,424,115,153,1690,1524,1711,1115,549,911,2141,1823,1357,1383,1550,1288,1407,531,672,399,300,667,373,367,432,44116,13058,18590,418,1220,32,4808,5990,44116,30301,13815,27956,13266,268,131,187,168,596,233,270,380,4241,1006,1960,947,2012,33439,22755,22707,21029,1678,48,10684,53335.0,28448.0,17111,12213,25874,4938,18122,14184,4372,1193,2128,3788,68.05,7.39,29.6,42.14,2.77,31.32
76114,27297,1155,750,1224,507,421,913,1351,712,1113,742,843,774,577,458,583,140,214,395,176,135,268,937,820,580,692,349,634,1044,968,947,872,1081,726,550,349,578,325,358,295,425,390,236,27297,17536,515,304,183,0,4623,4136,27297,11177,16120,17625,8481,420,14,181,353,405,465,190,228,2936,581,1055,443,828,21578,13316,13164,12581,583,152,8262,63454.0,28823.0,9635,6665,16585,3357,11173,9319,2950,762,1408,2141,61.71,4.43,64.24,1.89,0.67,59.05
76115,21355,909,1081,1001,712,406,429,900,762,617,928,553,634,477,122,137,115,135,186,207,43,83,888,938,1235,456,360,547,779,946,662,780,591,615,489,124,148,121,175,139,275,65,75,21355,8541,2301,278,1350,35,4139,4711,21355,6140,15215,11883,5899,318,168,544,358,433,260,155,275,1519,186,450,185,495,14882,8997,8997,8441,556,0,5885,45311.0,16683.0,6074,7220,12006,1619,8767,6647,1687,730,808,1373,60.46,6.18,40.0,10.77,6.32,71.25
76116,49232,2201,1242,1645,795,581,901,2426,2346,1716,1050,1363,1269,1289,620,751,356,496,794,524,323,452,2246,1663,1336,625,444,1156,2169,1957,1788,1208,1388,1234,1790,783,659,578,463,956,688,466,858,49232,31003,9612,77,878,0,2909,4753,49232,35917,13315,32760,15775,431,67,200,208,257,252,162,360,3995,1100,2784,899,3231,38434,25241,25087,23680,1407,154,13193,50982.0,37423.0,22150,11753,28888,6954,19914,16728,4062,1300,2992,4639,65.67,5.61,62.97,19.52,1.78,27.05
76117,32692,658,1018,1270,779,415,862,1829,897,1675,1010,1049,1025,955,254,573,407,275,548,209,160,457,1591,1026,1568,671,276,656,1103,1137,1169,1298,778,703,795,277,304,235,524,502,377,279,311,32692,17149,2291,194,2696,222,6442,3698,32692,17601,15091,21115,11323,361,73,711,615,424,716,207,245,4655,523,1068,677,836,24987,16010,15959,15433,526,51,8977,49782.0,24752.0,11679,8581,19040,4284,13673,12136,4728,1234,1683,2653,64.07,3.3,52.46,7.01,8.25,46.16
76118,16822,575,527,498,185,279,397,666,524,589,324,525,555,838,156,173,165,163,247,54,144,42,536,538,375,299,134,292,920,456,527,631,512,635,953,218,449,529,170,219,65,149,177,16822,11468,1382,40,1119,235,1711,867,16822,13182,3640,11775,5165,86,0,9,58,57,206,62,98,1375,450,749,441,997,13628,9624,9599,9248,351,25,4004,89394.0,41312.0,5849,3533,10753,2124,6864,5411,1375,459,807,1701,70.62,3.66,68.17,8.22,6.65,21.64
76119,51401,1876,2910,2077,1114,908,945,1482,2371,2199,1299,1477,1640,1182,480,585,328,663,624,465,226,160,1729,2351,2146,1449,713,920,1852,2227,1317,1611,1253,1579,1419,435,442,447,596,975,676,425,354,51401,13171,19790,325,1096,91,7191,9737,51401,26092,25309,30789,15181,839,359,635,1176,860,582,712,541,5175,1162,1557,730,562,37360,21657,21657,19830,1827,0,15703,44605.0,17713.0,14805,15652,28336,5939,20307,17273,5534,1797,2733,2734,57.97,8.44,25.62,38.5,2.13,49.24
76120,19842,780,527,713,469,313,659,807,436,801,616,892,467,705,185,244,162,186,173,103,45,140,888,626,665,315,139,384,1002,887,874,711,633,827,553,247,259,154,215,199,227,59,56,19842,6755,9147,16,707,0,1568,1649,19842,15585,4257,12865,5962,57,13,117,13,89,20,28,61,1642,425,1107,466,1472,15373,11704,11704,11281,423,0,3669,70129.0,36763.0,7807,4983,12641,1719,8953,6108,1655,542,1120,2047,76.13,3.61,34.04,46.1,3.56,21.45
76123,40973,1271,1747,1820,1379,723,463,1481,1246,1176,1079,1574,1499,1279,354,581,346,495,338,334,133,43,1143,1923,1698,936,430,795,989,1930,1787,1349,1840,1132,1223,317,471,315,547,775,416,76,126,40973,15125,16295,173,2892,136,1124,5228,40973,30097,10876,25251,11958,246,49,334,15,282,54,124,402,3367,779,1725,958,2405,30647,22196,22170,20357,1813,26,8451,91180.0,35391.0,12777,11917,23718,3944,17082,12730,3416,1113,1740,3699,72.42,8.18,36.91,39.77,7.06,26.54
76126,25480,883,845,955,658,352,400,878,564,1003,793,1065,692,898,219,410,261,330,494,330,231,181,719,1116,1006,437,102,386,801,675,1091,748,865,824,725,295,550,422,279,721,415,241,203,25480,19828,595,23,393,0,425,4216,25480,20109,5371,17204,8349,81,1,167,28,20,66,43,100,1374,602,1438,567,2384,19651,12781,12754,12294,460,27,6870,106467.0,52073.0,9159,6619,14336,4108,9999,8573,1375,769,1466,3037,65.04,3.61,77.82,2.34,1.54,21.08
76127,1657,0,0,7,7,41,146,56,0,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,82,147,195,199,156,168,142,66,12,66,8,0,0,12,8,0,1657,1349,125,43,14,7,53,66,1657,1168,489,1256,77,0,0,0,0,0,0,0,0,0,6,56,7,0,1634,390,97,97,0,293,1244,103971.0,13462.0,44,23,1505,28,1084,77,0,6,56,7,23.87,0.0,81.41,7.54,0.84,29.51
76129,1724,0,0,0,0,304,94,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,705,139,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1724,1149,297,5,135,0,30,108,1724,1536,188,26,7,0,0,0,0,0,0,0,0,0,0,7,0,0,1724,545,545,375,170,0,1179,,9848.0,0,11,1268,0,26,7,0,0,7,0,31.61,31.19,66.65,17.23,7.83,10.9
76131,50572,3039,1620,2482,896,512,846,1674,2532,2059,2273,1801,1901,977,570,464,281,100,428,562,85,91,1829,2253,1658,979,522,736,2028,2502,2150,2548,1374,1039,946,514,402,597,410,839,543,338,107,50572,28086,7831,335,5227,209,4112,4772,50572,37354,13218,32135,15798,120,90,75,170,128,196,220,349,3430,1142,2270,1418,4159,37115,26870,26665,25747,918,205,10245,101087.0,38742.0,16817,14756,30370,4381,23881,16487,3520,1217,2440,5901,72.4,3.44,55.54,15.48,10.34,26.14
76132,26709,923,534,754,440,200,937,967,857,898,758,709,561,833,284,312,248,338,620,357,225,296,984,922,506,293,187,929,1571,1286,527,602,664,1117,675,406,368,354,369,726,370,373,720,26709,16499,4723,245,2095,34,338,2775,26709,21781,4928,18391,8263,80,0,5,21,0,3,92,78,2160,151,868,492,2260,22002,14528,14523,14052,471,5,7474,68284.0,52007.0,12405,5356,15648,4996,10517,8513,2160,156,889,2755,66.03,3.24,61.77,17.68,7.84,18.45
