ZCTA,Total_Population,Male_Under_5,Male_5_to_9,Male_10_to_14,Male_15_to_17,Male_18_to_19,Male_22_to_24,Male_25_to_29,Male_30_to_34,Male_35_to_39,Male_40_to_44,Male_45_to_49,Male_50_to_54,Male_55_to_59,Male_60_to_61,Male_62_to_64,Male_65_to_66,Male_67_to_69,Male_70_to_74,Male_75_to_79,Male_80_to_84,Male_85_plus,Female_Under_5,Female_5_to_9,Female_10_to_14,Female_15_to_17,Female_18_to_19,Female_22_to_24,Female_25_to_29,Female_30_to_34,Female_35_to_39,Female_40_to_44,Female_45_to_49,Female_50_to_54,Female_55_to_59,Female_60_to_61,Female_62_to_64,Female_65_to_66,Female_67_to_69,Female_70_to_74,Female_75_to_79,Female_80_to_84,Female_85_plus,Total_Race,White_Alone,Black_Alone,AI_AN_Alone,Asian_Alone,NHPI_Alone,Other_Race_Alone,Two_or_More_Races,Total_Ethnicity,Not_Hispanic,Hispanic_Latino,Total_Education,Male_Less_9th,Male_Some_HS,Male_HS_Grad,Male_Some_College,Male_Associates,Male_Bachelors,Male_Graduate,Female_Less_9th,Female_Some_HS,Female_HS_Grad,Female_Some_College,Female_Associates,Female_Bachelors,Female_Graduate,Total_Employment,In_Labor_Force,Civilian_Labor_Force,Employed,Unemployed,Armed_Forces,Not_in_Labor_Force,Median_Household_Income,Per_Capita_Income,Total_Households,Population_Under_18,Population_18_to_64,Population_65_plus,Working_Age_25_54,Less_than_HS,HS_Grad_or_Equivalent,Some_College,Associates_Degree,Bachelors_or_Higher,Labor_Force_Participation_Rate,Unemployment_Rate,Pct_White,Pct_Black,Pct_Asian,Pct_Hispanic
75409,22249,890,571,736,557,28,884,644,1064,993,703,513,769,865,299,86,134,32,348,187,53,9,813,910,827,562,310,453,1068,1361,818,850,277,1043,829,352,198,21,170,288,148,26,55,22249,17251,3208,153,282,0,428,927,22249,17421,4828,14203,6699,19,0,318,97,2,143,63,75,1639,562,631,473,2174,17129,11990,11990,11642,348,0,5139,89444.0,36884.0,7456,5866,14407,1471,10103,6856,1639,880,728,2792,70.0,2.9,77.54,14.42,1.27,21.7
75422,2826,25,48,89,27,51,23,44,61,28,87,153,157,168,13,52,2,20,90,27,26,23,61,114,122,116,21,9,62,57,173,62,136,193,100,21,61,30,76,44,70,8,53,2826,2510,44,8,50,0,102,112,2826,2668,158,2097,951,17,0,22,20,6,13,16,25,385,72,140,31,94,2326,1338,1338,1216,122,0,988,65093.0,35726.0,1134,602,1732,469,1213,1009,385,94,160,144,57.52,9.12,88.82,1.56,1.77,5.59
75423,3024,48,133,149,74,80,87,70,72,64,132,144,52,98,51,71,28,2,73,139,49,20,62,130,134,37,9,28,90,98,46,84,133,108,45,18,65,5,15,81,100,22,51,3024,2598,6,5,0,0,201,214,3024,2605,419,2026,1065,5,0,10,0,5,4,9,74,410,120,257,55,95,2313,1339,1334,1266,68,5,974,55288.0,27892.0,1091,767,1645,585,1093,1153,410,130,257,159,57.89,5.1,85.91,0.2,0.0,13.86
75424,3483,137,118,157,27,38,5,72,99,87,144,134,105,133,16,149,35,31,72,23,18,12,87,133,166,100,73,8,109,66,106,86,108,182,68,22,109,94,76,52,101,29,12,3483,2962,2,5,3,0,272,239,3483,2697,786,2350,1130,95,18,5,4,8,23,14,2,364,149,199,123,96,2659,1647,1647,1608,39,0,1012,85364.0,34281.0,1204,925,1919,555,1298,1241,382,154,203,250,61.94,2.37,85.04,0.06,0.09,22.57
75428,11398,351,289,214,52,496,367,345,335,313,291,245,320,259,44,170,107,32,164,87,68,50,443,346,366,161,730,533,309,433,262,245,444,317,196,99,99,71,148,190,209,66,54,11398,7036,2062,142,279,8,974,897,11398,9328,2070,5972,2830,1,0,60,56,22,39,71,55,789,305,502,274,328,9314,5485,5477,5140,337,8,3829,51205.0,22174.0,3812,2222,6852,1246,3859,2957,789,365,558,663,58.89,6.15,61.73,18.09,2.45,18.16
75429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
75442,10571,255,256,366,325,0,196,44,610,440,260,449,426,285,258,106,97,204,194,167,52,38,419,303,220,313,146,93,363,305,378,174,438,240,425,150,271,95,111,278,347,136,118,10571,8539,576,51,31,128,580,666,10571,8977,1594,7459,3630,49,0,0,15,0,98,19,44,1068,472,789,193,720,8563,4936,4925,4621,304,11,3627,81839.0,38104.0,3902,2457,6057,1837,4127,3742,1068,472,804,1011,57.64,6.17,80.78,5.45,0.29,15.08
75453,3173,141,39,436,53,1,4,76,89,104,64,39,218,75,53,40,22,89,26,46,5,3,85,62,216,8,64,22,52,110,183,118,62,138,78,61,27,7,31,32,29,33,23,3173,3012,5,26,2,0,0,128,3173,2673,500,1933,949,8,0,0,0,10,15,48,31,320,72,191,58,157,2161,1525,1525,1396,129,0,636,98518.0,34950.0,1119,1040,1678,346,1253,1036,320,72,191,240,70.57,8.46,94.93,0.16,0.06,15.76
75454,17241,739,894,829,326,0,152,349,554,1023,660,751,663,241,334,166,41,149,180,151,0,252,903,640,708,421,369,183,342,867,519,1008,783,328,458,85,152,13,211,149,88,45,102,17241,12183,2086,13,950,0,207,1802,17241,15392,1849,10664,5514,29,0,0,14,82,0,0,122,775,296,855,377,2175,12275,8792,8792,8434,358,0,3483,137903.0,45129.0,5421,5460,9987,1381,7847,5665,775,296,869,2634,71.63,4.07,70.66,12.1,5.51,10.72
75474,16586,470,370,416,341,310,300,327,328,351,461,430,558,593,379,670,242,274,474,260,192,98,513,341,610,428,286,319,354,367,332,518,453,605,842,414,376,336,218,419,166,204,236,16586,14449,190,109,288,4,500,1046,16586,13781,2805,11477,5637,16,3,109,245,152,256,222,139,2167,480,615,460,559,13678,7558,7540,7131,409,18,6120,62461.0,31209.0,6209,3489,9573,3119,5084,6014,2170,589,860,1427,55.26,5.42,87.12,1.15,1.74,16.91
